date,open,high,low,close,volume,adjclose
2022/04/19,5.07,5.15,5.06,5.15,89397445,4.475981
2022/04/20,5.16,5.17,5.07,5.1,82642390,4.432525
2022/04/21,5.08,5.17,5.07,5.09,126456085,4.423834
2022/04/22,5.08,5.19,5.07,5.18,139900057,4.502055
2022/04/25,5.14,5.17,5.05,5.05,179085835,4.389069
2022/04/26,5.06,5.12,5.03,5.04,159390996,4.380378
2022/04/27,5.03,5.07,4.97,5.05,200106809,4.389069
2022/04/28,5.04,5.09,5.03,5.08,136015507,4.415143
2022/04/29,5.08,5.12,5.03,5.08,144727709,4.415143
2022/05/05,5.08,5.11,4.98,4.99,207939541,4.336921
2022/05/06,4.98,4.99,4.87,4.88,165817295,4.241318
2022/05/09,4.88,4.9,4.83,4.87,75781638,4.232626
2022/05/10,4.86,4.94,4.83,4.91,123662347,4.267392
2022/05/11,4.91,4.92,4.89,4.91,85006048,4.267392
2022/05/12,4.9,4.91,4.87,4.87,82470774,4.232626
2022/05/13,4.9,4.95,4.89,4.94,73393957,4.293466
2022/05/16,4.95,4.99,4.9,4.97,99375303,4.319539
2022/05/17,4.97,4.99,4.91,4.94,95045841,4.293466
2022/05/18,4.94,4.95,4.89,4.89,96634305,4.250009
2022/05/19,4.88,4.91,4.87,4.9,75434967,4.2587
2022/05/20,4.91,4.95,4.89,4.93,87498980,4.284774
2022/05/23,4.94,4.96,4.92,4.94,75432555,4.293466
2022/05/24,4.94,4.96,4.92,4.92,78929652,4.276083
2022/05/25,4.93,4.95,4.92,4.92,79896798,4.276083
2022/05/26,4.93,4.95,4.92,4.94,77674398,4.293466
2022/05/27,4.95,4.98,4.94,4.97,71104071,4.319539
2022/05/30,4.98,4.98,4.9,4.91,127595237,4.267392
2022/05/31,4.9,4.93,4.89,4.91,100906309,4.267392
2022/06/01,4.92,4.93,4.9,4.92,60025199,4.276083
2022/06/02,4.92,4.93,4.91,4.92,54435434,4.276083
2022/06/06,4.92,4.93,4.88,4.89,107439397,4.250009
2022/06/07,4.89,4.91,4.88,4.9,77084249,4.2587
2022/06/08,4.91,4.92,4.89,4.91,85996964,4.267392
2022/06/09,4.91,4.94,4.9,4.94,118233450,4.293466
2022/06/10,4.93,5.01,4.92,5.01,170194639,4.354304
2022/06/13,4.99,5,4.9,4.91,152112247,4.267392
2022/06/14,4.91,4.98,4.9,4.98,141033493,4.32823
2022/06/15,4.98,5.06,4.96,5,152822430,4.345613
2022/06/16,5.01,5.02,4.95,4.96,114848041,4.310848
2022/06/17,4.96,4.99,4.95,4.97,105040130,4.319539
2022/06/20,4.97,4.98,4.95,4.95,75031972,4.302156
2022/06/21,4.96,5.01,4.95,5,99429283,4.345613
2022/06/22,4.99,5.01,4.96,4.97,84986777,4.319539
2022/06/23,4.98,4.99,4.96,4.97,84142459,4.319539
2022/06/24,4.97,4.98,4.94,4.95,111104359,4.302156
2022/06/27,4.95,4.98,4.95,4.96,76917205,4.310848
2022/06/28,4.96,4.98,4.95,4.97,83961546,4.319539
2022/06/29,4.97,4.99,4.96,4.99,97647814,4.336921
2022/06/30,4.98,5,4.97,4.98,86825842,4.32823
2022/07/01,4.98,5,4.97,4.99,55939587,4.336921
2022/07/04,4.99,5,4.97,4.97,90074733,4.319539
2022/07/05,4.98,5,4.97,4.98,90084410,4.32823
2022/07/06,4.99,5,4.96,4.97,117263379,4.319539
2022/07/07,4.98,4.98,4.96,4.96,90320172,4.310848
2022/07/08,4.97,4.99,4.96,4.98,115632821,4.32823
2022/07/11,4.99,5,4.98,4.99,182581737,4.336921
2022/07/12,4.65,4.68,4.64,4.64,219488866,4.3416
2022/07/13,4.64,4.64,4.58,4.58,141568341,4.285459
2022/07/14,4.57,4.58,4.5,4.51,135463924,4.219961
2022/07/15,4.51,4.54,4.51,4.51,118471611,4.219961
2022/07/18,4.52,4.55,4.52,4.54,64026101,4.248031
2022/07/19,4.54,4.58,4.53,4.57,62061624,4.276102
2022/07/20,4.58,4.61,4.57,4.6,61410538,4.304173
2022/07/21,4.61,4.62,4.58,4.59,60808470,4.294816
2022/07/22,4.59,4.65,4.59,4.63,81080599,4.332243
2022/07/25,4.64,4.66,4.62,4.65,57325210,4.350957
2022/07/26,4.65,4.68,4.64,4.67,61316073,4.369671
2022/07/27,4.67,4.68,4.64,4.65,54955534,4.350957
2022/07/28,4.66,4.67,4.62,4.64,86859892,4.3416
2022/07/29,4.65,4.66,4.62,4.62,49807372,4.322886
2022/08/01,4.62,4.63,4.59,4.59,64391626,4.294816
2022/08/02,4.58,4.59,4.55,4.57,78185632,4.276102
2022/08/03,4.57,4.59,4.55,4.55,60815069,4.257388
2022/08/04,4.56,4.59,4.55,4.57,51375729,4.276102
2022/08/05,4.58,4.61,4.56,4.6,56130540,4.304173
2022/08/08,4.6,4.62,4.58,4.58,39021120,4.285459
2022/08/09,4.58,4.59,4.57,4.57,39498435,4.276102
